Fly_Drone1,,,,,,,,,,,,,,,
Time      ,.C.CM_Position.X,.C.CM_Position.Y,.C.CM_Position.Z,.R1.CM_Position.X,.R1.CM_Position.Y,.R1.CM_Position.Z,.R2.CM_Position.X,.R2.CM_Position.Y,.R2.CM_Position.Z,.R3.CM_Position.X,.R3.CM_Position.Y,.R3.CM_Position.Z,.R4.CM_Position.X,.R4.CM_Position.Y,.R4.CM_Position.Z
1.100000e+000,-1.113234e+001,-6.732807e+001,1.704690e+002,-1.021937e+002,-5.552920e+000,2.366574e+002,9.979664e+001,-5.584790e+000,2.381923e+002,-1.023602e+002,1.844614e+002,2.380877e+002,1.007904e+002,1.850426e+002,2.395665e+002
1.150000e+000,-1.112279e+001,-6.718404e+001,1.844333e+002,-1.021515e+002,-5.175731e+000,2.504478e+002,9.983944e+001,-5.201907e+000,2.519023e+002,-1.023179e+002,1.848425e+002,2.512009e+002,1.008333e+002,1.854292e+002,2.525967e+002
1.200000e+000,-1.108705e+001,-6.701695e+001,1.988956e+002,-1.020459e+002,-4.760529e+000,2.647590e+002,9.994640e+001,-4.781233e+000,2.660122e+002,-1.022120e+002,1.852592e+002,2.647676e+002,1.009404e+002,1.858511e+002,2.659587e+002
1.250000e+000,-1.102328e+001,-6.684817e+001,2.137608e+002,-1.018741e+002,-4.360070e+000,2.795309e+002,1.001199e+002,-4.377653e+000,2.804573e+002,-1.020400e+002,1.856583e+002,2.788237e+002,1.011142e+002,1.862531e+002,2.796837e+002
1.300000e+000,-1.093183e+001,-6.669535e+001,2.289390e+002,-1.016389e+002,-4.013885e+000,2.946966e+002,1.003567e+002,-4.032104e+000,2.951763e+002,-1.018042e+002,1.860012e+002,2.933739e+002,1.013513e+002,1.865951e+002,2.937825e+002
1.350000e+000,-1.081545e+001,-6.656847e+001,2.443514e+002,-1.013486e+002,-3.740387e+000,3.101828e+002,1.006475e+002,-3.763267e+000,3.101121e+002,-1.015133e+002,1.862707e+002,3.083776e+002,1.016426e+002,1.868598e+002,3.082313e+002
1.400000e+000,-1.067938e+001,-6.646871e+001,2.599309e+002,-1.010174e+002,-3.536323e+000,3.259091e+002,1.009776e+002,-3.567200e+000,3.252124e+002,-1.011814e+002,1.864711e+002,3.237483e+002,1.019732e+002,1.870520e+002,3.229711e+002
1.450000e+000,-1.053115e+001,-6.639072e+001,2.756183e+002,-1.006647e+002,-3.384108e+000,3.417898e+002,1.013269e+002,-3.425209e+000,3.404285e+002,-1.008280e+002,1.866201e+002,3.393676e+002,1.023229e+002,1.871906e+002,3.379212e+002
1.500000e+000,-1.038025e+001,-6.632758e+001,2.913545e+002,-1.003144e+002,-3.265121e+000,3.577342e+002,1.016717e+002,-3.317540e+000,3.557148e+002,-1.004769e+002,1.867365e+002,3.551107e+002,1.026682e+002,1.872955e+002,3.530018e+002
1.550000e+000,-1.023746e+001,-6.627700e+001,3.070717e+002,-9.999285e+001,-3.174775e+000,3.736488e+002,1.019863e+002,-3.238311e+000,3.710273e+002,-1.001547e+002,1.868247e+002,3.708747e+002,1.029832e+002,1.873724e+002,3.681598e+002
